74.16,0.05,4,0.00,s1,11,4,-33,s2,-5,-1,-33,s3,-5,-2,-16,s4,-6,6,-11,s5,5,6,-11,s6,1,-1,-7,s7,-3,4,-3,s8,2,1,-2,s9,4,-5,1,s10,1,-1,2,s11,1,-3,4,s12,3,4,-1,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,13,6,-34,s2,-12,2,-32,s3,0,-1,-17,s4,-7,1,-8,s5,6,6,-9,s6,4,5,-10,s7,-8,1,4,s8,3,2,5,s9,-1,1,2,s10,0,0,-2,s11,3,1,1,s12,-2,-1,0,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,15,6,-39,s2,-6,5,-36,s3,0,1,-15,s4,-10,-2,-4,s5,6,6,-8,s6,2,3,-12,s7,0,1,-2,s8,-1,-1,1,s9,0,-5,0,s10,-1,2,3,s11,1,-3,-5,s12,-2,-1,-3,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,15,4,-48,s2,-9,6,-39,s3,-4,1,-25,s4,-7,5,-2,s5,9,2,-12,s6,3,3,-11,s7,0,6,-5,s8,-2,2,4,s9,1,-1,-2,s10,-3,4,5,s11,1,3,3,s12,4,3,2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,22,2,-52,s2,-9,5,-40,s3,-7,2,-20,s4,-12,1,-10,s5,8,4,-9,s6,-9,9,-11,s7,-3,1,-10,s8,-2,-1,1,s9,3,1,-2,s10,4,1,3,s11,0,0,0,s12,1,-2,0,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,20,3,-55,s2,-10,3,-47,s3,-7,-3,-23,s4,-9,-1,-15,s5,11,4,-15,s6,-2,0,-13,s7,-5,3,-9,s8,-4,1,-1,s9,1,0,7,s10,-1,-4,4,s11,3,2,-1,s12,-1,2,0,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,20,4,-62,s2,-14,-1,-55,s3,-4,-3,-25,s4,-7,5,-16,s5,13,5,-17,s6,-3,1,-11,s7,-5,7,-7,s8,1,2,0,s9,1,-4,6,s10,-3,-3,-2,s11,0,3,1,s12,3,4,-3,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,23,5,-64,s2,-15,6,-60,s3,2,-2,-25,s4,-13,1,-14,s5,12,2,-24,s6,-3,2,-14,s7,-1,2,-2,s8,-4,0,0,s9,-3,-4,1,s10,-1,-1,-3,s11,3,-4,1,s12,1,5,-2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,26,6,-68,s2,-11,9,-61,s3,-6,0,-29,s4,-10,3,-13,s5,10,9,-17,s6,-3,3,-15,s7,2,2,-5,s8,-2,0,0,s9,2,-4,2,s10,1,-2,-4,s11,0,-4,2,s12,0,3,-4,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,31,5,-74,s2,-17,11,-65,s3,-2,-4,-31,s4,-10,0,-17,s5,12,7,-23,s6,-7,6,-16,s7,-4,7,-8,s8,-4,3,3,s9,6,-2,-1,s10,0,-4,-1,s11,2,2,2,s12,2,5,1,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,29,10,-82,s2,-17,8,-72,s3,-5,-3,-34,s4,-15,3,-16,s5,16,8,-18,s6,-3,6,-15,s7,-3,3,-6,s8,-8,0,1,s9,4,-6,1,s10,3,2,-2,s11,4,-4,0,s12,-2,3,-3,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,27,5,-78,s2,-16,12,-75,s3,-8,-4,-33,s4,-11,3,-15,s5,20,5,-23,s6,-5,6,-18,s7,-1,1,-15,s8,1,1,-2,s9,1,-7,2,s10,3,1,1,s11,0,-1,1,s12,-3,1,-1,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,29,12,-93,s2,-12,9,-77,s3,-7,-4,-37,s4,-12,4,-19,s5,17,7,-23,s6,-6,2,-20,s7,-5,7,-11,s8,-1,0,-4,s9,4,-1,4,s10,0,-3,3,s11,-2,-2,2,s12,1,4,-2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.16,0.05,4,0.00,s1,32,11,-94,s2,-20,9,-82,s3,-6,-4,-39,s4,-13,3,-22,s5,13,9,-26,s6,-7,6,-19,s7,-1,5,-14,s8,-6,-2,-3,s9,3,-3,-2,s10,3,3,1,s11,3,-5,1,s12,1,-3,2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
